Run Status: Accepted!
Program Runtime: 1024 milli secs
Progress: 168/168 test cases passed.
input	output	expected	
[36,24,22,27,21,43,32,40,47,30,28,20,29,41,34,31,48,44,37,23,38,26,49,35,45,42,46], 71	[[23,24,24],[22,23,26],[21,24,26],[22,22,27],[21,23,27],[20,24,27],[21,22,28],[20,23,28],[21,21,29],[20,22,29],[20,21,30],[20,20,31],[35,36],[34,37],[31,40],[30,41],[29,42],[28,43],[27,44],[26,45],[24,47],[23,48],[22,49]]	[[23,24,24],[22,23,26],[21,24,26],[22,22,27],[21,23,27],[20,24,27],[21,22,28],[20,23,28],[21,21,29],[20,22,29],[20,21,30],[20,20,31],[35,36],[34,37],[31,40],[30,41],[29,42],[28,43],[27,44],[26,45],[24,47],[23,48],[22,49]]	
   
[32,38,24,42,20,41,47,27,46,43,40,30,31,23,35,25,36,33,49,29,44,39,21,28,48,37,34,26,22], 53	[[26,27],[25,28],[24,29],[23,30],[22,31],[21,32],[20,33]]	[[26,27],[25,28],[24,29],[23,30],[22,31],[21,32],[20,33]]	
   
[42,21,29,44,37,38,32,39,40,47,33,46,45,36,31,48,34,24,26,28,20,41,22,30,27,49,43], 54	[[27,27],[26,28],[24,30],[22,32],[21,33],[20,34]]	[[27,27],[26,28],[24,30],[22,32],[21,33],[20,34]]	
   
[37,26,47,38,48,25,23,49,39,24,33,21,28,40,31,30,22,35,45,46,42,32,41,27,34,29,44,36], 52	[[26,26],[25,27],[24,28],[23,29],[22,30],[21,31]]	[[26,26],[25,27],[24,28],[23,29],[22,30],[21,31]]	
   
[44,35,41,38,24,29,47,40,43,22,30,33,34,32,25,48,39,45,28,42,20,49,27,36,26,37,46], 58	[[29,29],[28,30],[26,32],[25,33],[24,34],[22,36],[20,38]]	[[29,29],[28,30],[26,32],[25,33],[24,34],[22,36],[20,38]]	
   
[31,28,30,43,38,46,33,25,34,48,37,36,20,39,32,27,44,29,21,24,22,41,42,47,26,35,40,23], 58	[[29,29],[28,30],[27,31],[26,32],[25,33],[24,34],[23,35],[22,36],[21,37],[20,38]]	[[29,29],[28,30],[27,31],[26,32],[25,33],[24,34],[23,35],[22,36],[21,37],[20,38]]	
   
[27,25,45,32,29,26,44,23,39,37,31,28,20,34,33,42,35,41,47,38,43,22,48,36,40,46,21,30,49], 74	[[23,25,26],[22,26,26],[22,25,27],[21,26,27],[20,27,27],[23,23,28],[21,25,28],[20,26,28],[22,23,29],[20,25,29],[22,22,30],[21,23,30],[21,22,31],[20,23,31],[21,21,32],[20,22,32],[20,21,33],[20,20,34],[37,37],[36,38],[35,39],[34,40],[33,41],[32,42],[31,43],[30,44],[29,45],[28,46],[27,47],[26,48],[25,49]]	[[23,25,26],[22,26,26],[22,25,27],[21,26,27],[20,27,27],[23,23,28],[21,25,28],[20,26,28],[22,23,29],[20,25,29],[22,22,30],[21,23,30],[21,22,31],[20,23,31],[21,21,32],[20,22,32],[20,21,33],[20,20,34],[37,37],[36,38],[35,39],[34,40],[33,41],[32,42],[31,43],[30,44],[29,45],[28,46],[27,47],[26,48],[25,49]]	
   
[37,31,46,35,47,21,22,42,33,23,26,41,36,39,48,43,34,24,45,25,29,32,38,44,49], 74	[[24,25,25],[24,24,26],[23,25,26],[22,26,26],[22,23,29],[21,24,29],[21,22,31],[21,21,32],[37,37],[36,38],[35,39],[33,41],[32,42],[31,43],[29,45],[26,48],[25,49]]	[[24,25,25],[24,24,26],[23,25,26],[22,26,26],[22,23,29],[21,24,29],[21,22,31],[21,21,32],[37,37],[36,38],[35,39],[33,41],[32,42],[31,43],[29,45],[26,48],[25,49]]	
   
